Anrede,Titel,Vorname,Nachname,Adresse,Firma,E-Mail,Telefon-Nr.,Geburtstag
Frau,Dr.,Emma,Kambs,"Günter-Lange-Straße 3, 77839 Borken",Sorgatz,emma.kambs@sorgatz.eu,+49(0) 182838907,02.07.1975
Herr,Dr.,Michael,Kaul,"Nikola-Wohlgemut-Weg 78, 91098 Zerbst",Pieper Haering AG,michael.kaul@pieper_haering.eu,0303777834,17.11.1983
Herr,,Noah,Stiebitz,"Biggengasse 47, 80687 Heiligenstadt",Cichorius Matthäi GmbH,noah.stiebitz@cichoriusmatthaei.eu,02507 48374,07.03.1963
Herr,,Markus,Tlustek,"Albert-Wirth-Weg 2, 71781 Strausberg",Keudel GmbH,markus.tlustek@keudelgmbh.eu,+49(0) 253232786,27.09.1970
Frau,,Laura,Thies,"Blochplatz 27, 43917 Erbisdorf",Trupp KG,laura.thies@truppkg.eu,(06930) 24803,03.11.1982
Frau,,Anna,Seip,"Julian-Schmidtke-Ring 8, 87766 Regen",Riehl,anna.seip@riehl.com,+49(0) 224032903,31.12.1954
Frau,,Marie,Jacob,"Kramerstraße 20, 86067 Günzburg",Heintze,marie.jacob@heintze.com,(01935) 879148,12.12.1959
Frau,Prof. Dr.,Heidi,Thanel,"Stiffelweg 90, 51519 Leipziger Land",Ebert AG,heidi.thanel@ebertag.com,+49(0) 718531596,22.08.1955
Frau,,Maria,Langern,"Blochplatz 42, 89878 Säckingen",Jäkel GmbH,maria.langern@jaekelgmbh.com,0579949781,02.05.1957
Herr,,Ben,Staude,"Rupert-Bender-Weg 56, 96998 Eisenhüttenstadt",Striebitz,ben.staude@striebitz.eu,+49(0)0094 98263,05.06.1981
Herr,,Lucas,Lange,"Mark-Weihmann-Allee 60, 42821 Rosenheim",Scholtz GbR,lucas.lange@scholtz-gbr.com,05923 52681,10.02.1954
Herr,,Max,Ditschlerin,"Paffrathstr. 13, 99595 Eutin",Pölitz GmbH & Co. KG,max.ditschlerin@poelitzgmbh.eu,+49(0)4400665225,01.11.1997
Herr,,Markus,Haase,"Gesche-Kensy-Ring 6, 58014 Lüdenscheid",Bohnbach KG,markus.haase@bohnbachkg.de,+49(0)6102 84266,04.08.1979
